CaseStudy,WindowMin,WindowMax,Option,Value,Configurations,Pearson-Correlation,Group
7z,-,-,filterOff,0,34320,0.988,filterOff
7z,-,-,filterOff,1,34320,0.989,filterOff
7z,4.20,46.23,filterOff,0,20396,0.923,filterOff
7z,4.20,46.23,filterOff,1,20396,0.922,filterOff
7z,25.22,67.25,filterOff,0,6332,0.585,filterOff
7z,25.22,67.25,filterOff,1,6332,0.587,filterOff
7z,46.23,88.27,filterOff,0,4596,0.972,filterOff
7z,46.23,88.27,filterOff,1,4596,0.972,filterOff
7z,67.25,109.29,filterOff,0,5963,0.773,filterOff
7z,67.25,109.29,filterOff,1,5962,0.769,filterOff
7z,88.27,130.31,filterOff,0,7156,0.572,filterOff
7z,88.27,130.31,filterOff,1,7156,0.571,filterOff
7z,109.29,151.33,filterOff,0,3105,0.170,filterOff
7z,109.29,151.33,filterOff,1,3106,0.169,filterOff
7z,130.31,172.35,filterOff,0,324,0.917,filterOff
7z,130.31,172.35,filterOff,1,324,0.918,filterOff
7z,151.33,193.37,filterOff,0,84,0.905,filterOff
7z,151.33,193.37,filterOff,1,84,0.856,filterOff
7z,172.35,214.39,filterOff,0,40,0.372,filterOff
7z,172.35,214.39,filterOff,1,40,0.439,filterOff
7z,235.40,277.44,filterOff,0,92,0.673,filterOff
7z,235.40,277.44,filterOff,1,92,0.767,filterOff
7z,256.42,298.46,filterOff,0,184,-0.869,filterOff
7z,256.42,298.46,filterOff,1,202,-0.859,filterOff
7z,277.44,319.48,filterOff,0,1144,0.439,filterOff
7z,277.44,319.48,filterOff,1,1144,0.379,filterOff
7z,298.46,340.50,filterOff,0,1052,0.407,filterOff
7z,298.46,340.50,filterOff,1,1034,0.338,filterOff
7z,382.54,424.57,filterOff,0,572,0.334,filterOff
7z,382.54,424.57,filterOff,1,572,0.342,filterOff
7z,-,-,HeaderCompressionOff,0,34320,0.988,HeaderCompressionOff
7z,-,-,HeaderCompressionOff,1,34320,0.988,HeaderCompressionOff
7z,4.20,46.23,HeaderCompressionOff,0,20396,0.922,HeaderCompressionOff
7z,4.20,46.23,HeaderCompressionOff,1,20396,0.923,HeaderCompressionOff
7z,25.22,67.25,HeaderCompressionOff,0,6332,0.585,HeaderCompressionOff
7z,25.22,67.25,HeaderCompressionOff,1,6332,0.587,HeaderCompressionOff
7z,46.23,88.27,HeaderCompressionOff,0,4590,0.972,HeaderCompressionOff
7z,46.23,88.27,HeaderCompressionOff,1,4602,0.972,HeaderCompressionOff
7z,67.25,109.29,HeaderCompressionOff,0,5959,0.771,HeaderCompressionOff
7z,67.25,109.29,HeaderCompressionOff,1,5966,0.770,HeaderCompressionOff
7z,88.27,130.31,HeaderCompressionOff,0,7162,0.571,HeaderCompressionOff
7z,88.27,130.31,HeaderCompressionOff,1,7150,0.572,HeaderCompressionOff
7z,109.29,151.33,HeaderCompressionOff,0,3109,0.168,HeaderCompressionOff
7z,109.29,151.33,HeaderCompressionOff,1,3102,0.171,HeaderCompressionOff
7z,130.31,172.35,HeaderCompressionOff,0,324,0.917,HeaderCompressionOff
7z,130.31,172.35,HeaderCompressionOff,1,324,0.918,HeaderCompressionOff
7z,151.33,193.37,HeaderCompressionOff,0,84,0.898,HeaderCompressionOff
7z,151.33,193.37,HeaderCompressionOff,1,84,0.857,HeaderCompressionOff
7z,172.35,214.39,HeaderCompressionOff,0,40,0.443,HeaderCompressionOff
7z,172.35,214.39,HeaderCompressionOff,1,40,0.386,HeaderCompressionOff
7z,235.40,277.44,HeaderCompressionOff,0,92,0.688,HeaderCompressionOff
7z,235.40,277.44,HeaderCompressionOff,1,92,0.739,HeaderCompressionOff
7z,256.42,298.46,HeaderCompressionOff,0,194,-0.867,HeaderCompressionOff
7z,256.42,298.46,HeaderCompressionOff,1,192,-0.858,HeaderCompressionOff
7z,277.44,319.48,HeaderCompressionOff,0,1144,0.377,HeaderCompressionOff
7z,277.44,319.48,HeaderCompressionOff,1,1144,0.445,HeaderCompressionOff
7z,298.46,340.50,HeaderCompressionOff,0,1042,0.342,HeaderCompressionOff
7z,298.46,340.50,HeaderCompressionOff,1,1044,0.403,HeaderCompressionOff
7z,382.54,424.57,HeaderCompressionOff,0,572,0.337,HeaderCompressionOff
7z,382.54,424.57,HeaderCompressionOff,1,572,0.338,HeaderCompressionOff
7z,-,-,mtOff,0,34320,0.974,mtOff
7z,-,-,mtOff,1,34320,1.000,mtOff
7z,4.20,46.23,mtOff,0,21240,0.905,mtOff
7z,4.20,46.23,mtOff,1,19552,0.998,mtOff
7z,25.22,67.25,mtOff,0,4656,0.363,mtOff
7z,25.22,67.25,mtOff,1,8008,0.988,mtOff
7z,46.23,88.27,mtOff,0,5864,0.960,mtOff
7z,46.23,88.27,mtOff,1,3328,0.723,mtOff
7z,67.25,109.29,mtOff,0,7048,0.859,mtOff
7z,67.25,109.29,mtOff,1,4877,0.977,mtOff
7z,88.27,130.31,mtOff,0,5576,0.586,mtOff
7z,88.27,130.31,mtOff,1,8736,0.992,mtOff
7z,109.29,151.33,mtOff,0,1936,0.127,mtOff
7z,109.29,151.33,mtOff,1,4275,0.952,mtOff
7z,130.31,172.35,mtOff,0,232,0.813,mtOff
7z,130.31,172.35,mtOff,1,416,0.109,mtOff
7z,151.33,193.37,mtOff,0,168,0.877,mtOff
7z,172.35,214.39,mtOff,0,80,0.403,mtOff
7z,235.40,277.44,mtOff,0,184,0.710,mtOff
7z,256.42,298.46,mtOff,0,292,-0.824,mtOff
7z,256.42,298.46,mtOff,1,94,0.278,mtOff
7z,277.44,319.48,mtOff,0,1144,0.412,mtOff
7z,277.44,319.48,mtOff,1,1144,0.410,mtOff
7z,298.46,340.50,mtOff,0,1036,0.378,mtOff
7z,298.46,340.50,mtOff,1,1050,0.366,mtOff
7z,382.54,424.57,mtOff,1,1144,0.337,mtOff
7z,-,-,LZMA,1,13728,0.995,CompressionMethod
7z,4.20,46.23,LZMA,1,6864,0.982,CompressionMethod
7z,46.23,88.27,LZMA,1,1451,0.705,CompressionMethod
7z,67.25,109.29,LZMA,1,5854,0.762,CompressionMethod
7z,88.27,130.31,LZMA,1,5205,0.942,CompressionMethod
7z,109.29,151.33,LZMA,1,1010,0.981,CompressionMethod
7z,130.31,172.35,LZMA,1,208,0.118,CompressionMethod
7z,-,-,LZMA2,1,13728,0.995,CompressionMethod
7z,4.20,46.23,LZMA2,1,6864,0.989,CompressionMethod
7z,46.23,88.27,LZMA2,1,1629,0.595,CompressionMethod
7z,67.25,109.29,LZMA2,1,5887,0.765,CompressionMethod
7z,88.27,130.31,LZMA2,1,5027,0.940,CompressionMethod
7z,109.29,151.33,LZMA2,1,977,0.983,CompressionMethod
7z,130.31,172.35,LZMA2,1,208,0.075,CompressionMethod
7z,-,-,PPMd,1,13728,0.999,CompressionMethod
7z,4.20,46.23,PPMd,1,11440,0.999,CompressionMethod
7z,25.22,67.25,PPMd,1,4576,0.993,CompressionMethod
7z,46.23,88.27,PPMd,1,2288,0.818,CompressionMethod
7z,-,-,BZip2,1,13728,0.978,CompressionMethod
7z,4.20,46.23,BZip2,1,8760,0.816,CompressionMethod
7z,25.22,67.25,BZip2,1,5800,0.575,CompressionMethod
7z,46.23,88.27,BZip2,1,1536,0.776,CompressionMethod
7z,67.25,109.29,BZip2,1,184,0.928,CompressionMethod
7z,88.27,130.31,BZip2,1,1792,-0.680,CompressionMethod
7z,109.29,151.33,BZip2,1,1936,-0.001,CompressionMethod
7z,130.31,172.35,BZip2,1,232,0.813,CompressionMethod
7z,151.33,193.37,BZip2,1,168,0.877,CompressionMethod
7z,172.35,214.39,BZip2,1,80,0.403,CompressionMethod
7z,235.40,277.44,BZip2,1,184,0.710,CompressionMethod
7z,256.42,298.46,BZip2,1,184,0.710,CompressionMethod
7z,382.54,424.57,BZip2,1,1144,0.337,CompressionMethod
7z,-,-,Deflate,1,13728,1.000,CompressionMethod
7z,4.20,46.23,Deflate,1,6864,0.051,CompressionMethod
7z,25.22,67.25,Deflate,1,2288,0.176,CompressionMethod
7z,46.23,88.27,Deflate,1,2288,0.176,CompressionMethod
7z,88.27,130.31,Deflate,1,2288,0.324,CompressionMethod
7z,109.29,151.33,Deflate,1,2288,0.324,CompressionMethod
7z,256.42,298.46,Deflate,1,202,0.253,CompressionMethod
7z,277.44,319.48,Deflate,1,2288,0.408,CompressionMethod
7z,298.46,340.50,Deflate,1,2086,0.370,CompressionMethod
7z,-,-,tmOff,0,34320,0.988,tmOff
7z,-,-,tmOff,1,34320,0.989,tmOff
7z,4.20,46.23,tmOff,0,20396,0.922,tmOff
7z,4.20,46.23,tmOff,1,20396,0.923,tmOff
7z,25.22,67.25,tmOff,0,6332,0.585,tmOff
7z,25.22,67.25,tmOff,1,6332,0.587,tmOff
7z,46.23,88.27,tmOff,0,4605,0.972,tmOff
7z,46.23,88.27,tmOff,1,4587,0.972,tmOff
7z,67.25,109.29,tmOff,0,5957,0.770,tmOff
7z,67.25,109.29,tmOff,1,5968,0.771,tmOff
7z,88.27,130.31,tmOff,0,7147,0.571,tmOff
7z,88.27,130.31,tmOff,1,7165,0.572,tmOff
7z,109.29,151.33,tmOff,0,3111,0.171,tmOff
7z,109.29,151.33,tmOff,1,3100,0.169,tmOff
7z,130.31,172.35,tmOff,0,324,0.918,tmOff
7z,130.31,172.35,tmOff,1,324,0.917,tmOff
7z,151.33,193.37,tmOff,0,84,0.902,tmOff
7z,151.33,193.37,tmOff,1,84,0.855,tmOff
7z,172.35,214.39,tmOff,0,40,0.529,tmOff
7z,172.35,214.39,tmOff,1,40,0.325,tmOff
7z,235.40,277.44,tmOff,0,92,0.698,tmOff
7z,235.40,277.44,tmOff,1,92,0.724,tmOff
7z,256.42,298.46,tmOff,0,182,-0.859,tmOff
7z,256.42,298.46,tmOff,1,204,-0.865,tmOff
7z,277.44,319.48,tmOff,0,1144,0.340,tmOff
7z,277.44,319.48,tmOff,1,1144,0.478,tmOff
7z,298.46,340.50,tmOff,0,1054,0.318,tmOff
7z,298.46,340.50,tmOff,1,1032,0.429,tmOff
7z,382.54,424.57,tmOff,0,572,0.315,tmOff
7z,382.54,424.57,tmOff,1,572,0.366,tmOff
7z,-,-,Files,0,6240,0.996,Files
7z,-,-,Files,10,6240,0.989,Files
7z,-,-,Files,20,6240,0.988,Files
7z,-,-,Files,30,6240,0.988,Files
7z,-,-,Files,40,6240,0.988,Files
7z,-,-,Files,50,6240,0.987,Files
7z,-,-,Files,60,6240,0.988,Files
7z,-,-,Files,70,6240,0.987,Files
7z,-,-,Files,80,6240,0.987,Files
7z,-,-,Files,90,6240,0.987,Files
7z,-,-,Files,100,6240,0.987,Files
7z,4.20,46.23,Files,100,3712,0.912,Files
7z,4.20,46.23,Files,80,3712,0.914,Files
7z,4.20,46.23,Files,90,3712,0.913,Files
7z,4.20,46.23,Files,70,3712,0.915,Files
7z,4.20,46.23,Files,60,3712,0.915,Files
7z,4.20,46.23,Files,40,3712,0.919,Files
7z,4.20,46.23,Files,50,3712,0.915,Files
7z,4.20,46.23,Files,30,3712,0.919,Files
7z,4.20,46.23,Files,20,3712,0.925,Files
7z,4.20,46.23,Files,10,3640,0.963,Files
7z,4.20,46.23,Files,0,3744,0.986,Files
7z,25.22,67.25,Files,20,1152,0.601,Files
7z,25.22,67.25,Files,100,1152,0.517,Files
7z,25.22,67.25,Files,70,1152,0.535,Files
7z,25.22,67.25,Files,90,1152,0.524,Files
7z,25.22,67.25,Files,80,1152,0.525,Files
7z,25.22,67.25,Files,60,1152,0.530,Files
7z,25.22,67.25,Files,50,1152,0.538,Files
7z,25.22,67.25,Files,10,1152,0.725,Files
7z,25.22,67.25,Files,40,1152,0.569,Files
7z,25.22,67.25,Files,30,1152,0.568,Files
7z,25.22,67.25,Files,0,1144,0.968,Files
7z,46.23,88.27,Files,10,919,0.915,Files
7z,46.23,88.27,Files,60,778,0.973,Files
7z,46.23,88.27,Files,80,821,0.971,Files
7z,46.23,88.27,Files,100,788,0.971,Files
7z,46.23,88.27,Files,90,825,0.973,Files
7z,46.23,88.27,Files,40,772,0.973,Files
7z,46.23,88.27,Files,70,818,0.972,Files
7z,46.23,88.27,Files,50,775,0.973,Files
7z,46.23,88.27,Files,30,776,0.973,Files
7z,46.23,88.27,Files,20,776,0.975,Files
7z,46.23,88.27,Files,0,1144,0.999,Files
7z,67.25,109.29,Files,10,1112,0.839,Files
7z,67.25,109.29,Files,100,1122,0.812,Files
7z,67.25,109.29,Files,40,1113,0.804,Files
7z,67.25,109.29,Files,80,1125,0.814,Files
7z,67.25,109.29,Files,50,1116,0.803,Files
7z,67.25,109.29,Files,20,1112,0.808,Files
7z,67.25,109.29,Files,30,1113,0.805,Files
7z,67.25,109.29,Files,90,1122,0.820,Files
7z,67.25,109.29,Files,70,1141,0.822,Files
7z,67.25,109.29,Files,60,1121,0.809,Files
7z,67.25,109.29,Files,0,728,0.957,Files
7z,88.27,130.31,Files,60,1406,0.555,Files
7z,88.27,130.31,Files,70,1366,0.540,Files
7z,88.27,130.31,Files,10,1265,0.959,Files
7z,88.27,130.31,Files,80,1363,0.529,Files
7z,88.27,130.31,Files,100,1396,0.517,Files
7z,88.27,130.31,Files,30,1408,0.616,Files
7z,88.27,130.31,Files,40,1412,0.619,Files
7z,88.27,130.31,Files,90,1359,0.517,Files
7z,88.27,130.31,Files,50,1409,0.547,Files
7z,88.27,130.31,Files,20,1408,0.661,Files
7z,88.27,130.31,Files,0,520,0.924,Files
7z,109.29,151.33,Files,90,526,-0.155,Files
7z,109.29,151.33,Files,50,532,-0.059,Files
7z,109.29,151.33,Files,80,523,-0.126,Files
7z,109.29,151.33,Files,40,535,0.236,Files
7z,109.29,151.33,Files,100,526,-0.189,Files
7z,109.29,151.33,Files,60,527,-0.081,Files
7z,109.29,151.33,Files,30,535,0.283,Files
7z,109.29,151.33,Files,70,507,-0.144,Files
7z,109.29,151.33,Files,20,536,0.526,Files
7z,109.29,151.33,Files,10,528,0.939,Files
7z,109.29,151.33,Files,0,936,0.969,Files
7z,130.31,172.35,Files,0,416,0.109,Files
7z,130.31,172.35,Files,10,88,0.877,Files
7z,130.31,172.35,Files,80,16,0.814,Files
7z,130.31,172.35,Files,60,16,0.798,Files
7z,130.31,172.35,Files,70,16,0.593,Files
7z,130.31,172.35,Files,90,16,0.758,Files
7z,130.31,172.35,Files,100,16,0.603,Files
7z,130.31,172.35,Files,50,16,0.878,Files
7z,130.31,172.35,Files,40,16,0.712,Files
7z,130.31,172.35,Files,30,16,0.855,Files
7z,130.31,172.35,Files,20,16,0.767,Files
7z,151.33,193.37,Files,70,16,0.866,Files
7z,151.33,193.37,Files,100,16,0.873,Files
7z,151.33,193.37,Files,90,16,0.866,Files
7z,151.33,193.37,Files,60,16,0.887,Files
7z,151.33,193.37,Files,80,16,0.837,Files
7z,151.33,193.37,Files,50,16,0.882,Files
7z,151.33,193.37,Files,40,16,0.873,Files
7z,151.33,193.37,Files,30,16,0.913,Files
7z,151.33,193.37,Files,20,16,0.912,Files
7z,151.33,193.37,Files,10,24,0.912,Files
7z,172.35,214.39,Files,100,8,-0.166,Files
7z,172.35,214.39,Files,70,8,0.382,Files
7z,172.35,214.39,Files,80,8,0.805,Files
7z,172.35,214.39,Files,90,8,0.382,Files
7z,172.35,214.39,Files,60,8,-0.243,Files
7z,172.35,214.39,Files,50,8,-0.492,Files
7z,172.35,214.39,Files,40,8,0.077,Files
7z,172.35,214.39,Files,30,8,-0.354,Files
7z,172.35,214.39,Files,20,8,-0.074,Files
7z,172.35,214.39,Files,10,8,0.709,Files
7z,235.40,277.44,Files,90,8,-0.637,Files
7z,235.40,277.44,Files,100,8,0.427,Files
7z,235.40,277.44,Files,80,8,-0.040,Files
7z,235.40,277.44,Files,70,8,0.213,Files
7z,235.40,277.44,Files,50,8,0.388,Files
7z,235.40,277.44,Files,60,8,-0.096,Files
7z,235.40,277.44,Files,40,8,-0.748,Files
7z,235.40,277.44,Files,30,8,0.299,Files
7z,235.40,277.44,Files,20,8,-0.164,Files
7z,235.40,277.44,Files,10,8,-0.174,Files
7z,235.40,277.44,Files,0,104,0.233,Files
7z,256.42,298.46,Files,90,23,-0.930,Files
7z,256.42,298.46,Files,100,16,-0.919,Files
7z,256.42,298.46,Files,80,31,-0.887,Files
7z,256.42,298.46,Files,70,24,-0.904,Files
7z,256.42,298.46,Files,50,15,-0.929,Files
7z,256.42,298.46,Files,60,20,-0.934,Files
7z,256.42,298.46,Files,40,29,-0.837,Files
7z,256.42,298.46,Files,30,22,-0.937,Files
7z,256.42,298.46,Files,20,23,-0.958,Files
7z,256.42,298.46,Files,10,21,-0.966,Files
7z,256.42,298.46,Files,0,162,-0.968,Files
7z,277.44,319.48,Files,60,208,0.440,Files
7z,277.44,319.48,Files,40,208,0.434,Files
7z,277.44,319.48,Files,30,208,0.399,Files
7z,277.44,319.48,Files,0,208,0.371,Files
7z,277.44,319.48,Files,20,208,0.330,Files
7z,277.44,319.48,Files,10,208,0.245,Files
7z,277.44,319.48,Files,70,208,0.237,Files
7z,277.44,319.48,Files,90,208,0.406,Files
7z,277.44,319.48,Files,80,208,0.288,Files
7z,277.44,319.48,Files,100,208,0.414,Files
7z,277.44,319.48,Files,50,208,0.454,Files
7z,298.46,340.50,Files,90,193,0.379,Files
7z,298.46,340.50,Files,100,200,0.402,Files
7z,298.46,340.50,Files,0,150,0.302,Files
7z,298.46,340.50,Files,60,196,0.399,Files
7z,298.46,340.50,Files,20,193,0.267,Files
7z,298.46,340.50,Files,80,185,0.248,Files
7z,298.46,340.50,Files,70,192,0.196,Files
7z,298.46,340.50,Files,10,195,0.218,Files
7z,298.46,340.50,Files,50,201,0.443,Files
7z,298.46,340.50,Files,40,187,0.374,Files
7z,298.46,340.50,Files,30,194,0.377,Files
7z,382.54,424.57,Files,20,104,0.349,Files
7z,382.54,424.57,Files,70,104,0.281,Files
7z,382.54,424.57,Files,40,104,0.274,Files
7z,382.54,424.57,Files,50,104,0.202,Files
7z,382.54,424.57,Files,30,104,0.263,Files
7z,382.54,424.57,Files,60,104,0.234,Files
7z,382.54,424.57,Files,100,104,0.432,Files
7z,382.54,424.57,Files,80,104,0.281,Files
7z,382.54,424.57,Files,10,104,0.344,Files
7z,382.54,424.57,Files,90,104,0.324,Files
7z,382.54,424.57,Files,0,104,0.285,Files
7z,-,-,BlockSize,1,5280,0.996,BlockSize
7z,-,-,BlockSize,2,5280,0.992,BlockSize
7z,-,-,BlockSize,4,5280,0.990,BlockSize
7z,-,-,BlockSize,8,5280,0.989,BlockSize
7z,-,-,BlockSize,16,5280,0.987,BlockSize
7z,-,-,BlockSize,32,5280,0.987,BlockSize
7z,-,-,BlockSize,64,5280,0.987,BlockSize
7z,-,-,BlockSize,128,5280,0.987,BlockSize
7z,-,-,BlockSize,256,5280,0.987,BlockSize
7z,-,-,BlockSize,512,5280,0.987,BlockSize
7z,-,-,BlockSize,1024,5280,0.987,BlockSize
7z,-,-,BlockSize,2048,5280,0.987,BlockSize
7z,-,-,BlockSize,4096,5280,0.987,BlockSize
7z,4.20,46.23,BlockSize,64,3160,0.913,BlockSize
7z,4.20,46.23,BlockSize,1024,3160,0.912,BlockSize
7z,4.20,46.23,BlockSize,512,3160,0.913,BlockSize
7z,4.20,46.23,BlockSize,4096,3160,0.912,BlockSize
7z,4.20,46.23,BlockSize,128,3160,0.912,BlockSize
7z,4.20,46.23,BlockSize,2048,3160,0.912,BlockSize
7z,4.20,46.23,BlockSize,256,3160,0.912,BlockSize
7z,4.20,46.23,BlockSize,32,3160,0.914,BlockSize
7z,4.20,46.23,BlockSize,16,3160,0.918,BlockSize
7z,4.20,46.23,BlockSize,8,3088,0.957,BlockSize
7z,4.20,46.23,BlockSize,4,3088,0.959,BlockSize
7z,4.20,46.23,BlockSize,2,3088,0.968,BlockSize
7z,4.20,46.23,BlockSize,1,3088,0.983,BlockSize
7z,25.22,67.25,BlockSize,2,1048,0.866,BlockSize
7z,25.22,67.25,BlockSize,64,968,0.461,BlockSize
7z,25.22,67.25,BlockSize,128,968,0.455,BlockSize
7z,25.22,67.25,BlockSize,4096,968,0.455,BlockSize
7z,25.22,67.25,BlockSize,4,968,0.804,BlockSize
7z,25.22,67.25,BlockSize,32,968,0.472,BlockSize
7z,25.22,67.25,BlockSize,512,968,0.458,BlockSize
7z,25.22,67.25,BlockSize,2048,968,0.459,BlockSize
7z,25.22,67.25,BlockSize,16,968,0.522,BlockSize
7z,25.22,67.25,BlockSize,8,968,0.735,BlockSize
7z,25.22,67.25,BlockSize,1,968,0.955,BlockSize
7z,25.22,67.25,BlockSize,256,968,0.455,BlockSize
7z,25.22,67.25,BlockSize,1024,968,0.460,BlockSize
7z,46.23,88.27,BlockSize,16,656,0.982,BlockSize
7z,46.23,88.27,BlockSize,4,1048,0.953,BlockSize
7z,46.23,88.27,BlockSize,512,529,0.973,BlockSize
7z,46.23,88.27,BlockSize,64,507,0.971,BlockSize
7z,46.23,88.27,BlockSize,256,535,0.973,BlockSize
7z,46.23,88.27,BlockSize,128,533,0.973,BlockSize
7z,46.23,88.27,BlockSize,4096,533,0.973,BlockSize
7z,46.23,88.27,BlockSize,1024,534,0.974,BlockSize
7z,46.23,88.27,BlockSize,2048,533,0.973,BlockSize
7z,46.23,88.27,BlockSize,8,1048,0.946,BlockSize
7z,46.23,88.27,BlockSize,1,1048,0.998,BlockSize
7z,46.23,88.27,BlockSize,32,640,0.979,BlockSize
7z,46.23,88.27,BlockSize,2,1048,0.979,BlockSize
7z,67.25,109.29,BlockSize,4,696,0.886,BlockSize
7z,67.25,109.29,BlockSize,2,696,0.928,BlockSize
7z,67.25,109.29,BlockSize,16,1016,0.772,BlockSize
7z,67.25,109.29,BlockSize,8,773,0.852,BlockSize
7z,67.25,109.29,BlockSize,32,1016,0.746,BlockSize
7z,67.25,109.29,BlockSize,1,616,0.877,BlockSize
7z,67.25,109.29,BlockSize,256,1016,0.768,BlockSize
7z,67.25,109.29,BlockSize,128,1016,0.774,BlockSize
7z,67.25,109.29,BlockSize,2048,1016,0.767,BlockSize
7z,67.25,109.29,BlockSize,512,1016,0.769,BlockSize
7z,67.25,109.29,BlockSize,1024,1016,0.770,BlockSize
7z,67.25,109.29,BlockSize,64,1016,0.763,BlockSize
7z,67.25,109.29,BlockSize,4096,1016,0.768,BlockSize
7z,88.27,130.31,BlockSize,1024,1274,0.575,BlockSize
7z,88.27,130.31,BlockSize,128,1275,0.574,BlockSize
7z,88.27,130.31,BlockSize,32,1168,0.579,BlockSize
7z,88.27,130.31,BlockSize,2048,1275,0.574,BlockSize
7z,88.27,130.31,BlockSize,512,1279,0.576,BlockSize
7z,88.27,130.31,BlockSize,256,1273,0.574,BlockSize
7z,88.27,130.31,BlockSize,64,1301,0.585,BlockSize
7z,88.27,130.31,BlockSize,4096,1275,0.574,BlockSize
7z,88.27,130.31,BlockSize,16,1152,0.628,BlockSize
7z,88.27,130.31,BlockSize,8,760,0.987,BlockSize
7z,88.27,130.31,BlockSize,4,760,0.976,BlockSize
7z,88.27,130.31,BlockSize,2,760,0.954,BlockSize
7z,88.27,130.31,BlockSize,1,760,0.905,BlockSize
7z,109.29,151.33,BlockSize,8,627,0.901,BlockSize
7z,109.29,151.33,BlockSize,1024,392,-0.255,BlockSize
7z,109.29,151.33,BlockSize,4096,392,-0.260,BlockSize
7z,109.29,151.33,BlockSize,128,392,-0.258,BlockSize
7z,109.29,151.33,BlockSize,256,392,-0.256,BlockSize
7z,109.29,151.33,BlockSize,2048,392,-0.256,BlockSize
7z,109.29,151.33,BlockSize,512,392,-0.260,BlockSize
7z,109.29,151.33,BlockSize,64,392,-0.230,BlockSize
7z,109.29,151.33,BlockSize,32,392,-0.130,BlockSize
7z,109.29,151.33,BlockSize,4,632,0.948,BlockSize
7z,109.29,151.33,BlockSize,16,392,0.184,BlockSize
7z,109.29,151.33,BlockSize,2,632,0.894,BlockSize
7z,109.29,151.33,BlockSize,1,792,0.921,BlockSize
7z,130.31,172.35,BlockSize,4096,40,0.999,BlockSize
7z,130.31,172.35,BlockSize,32,40,0.999,BlockSize
7z,130.31,172.35,BlockSize,256,40,0.999,BlockSize
7z,130.31,172.35,BlockSize,1024,40,0.999,BlockSize
7z,130.31,172.35,BlockSize,2048,40,0.999,BlockSize
7z,130.31,172.35,BlockSize,512,40,0.998,BlockSize
7z,130.31,172.35,BlockSize,128,40,0.999,BlockSize
7z,130.31,172.35,BlockSize,8,112,0.868,BlockSize
7z,130.31,172.35,BlockSize,16,40,0.998,BlockSize
7z,130.31,172.35,BlockSize,2,32,0.187,BlockSize
7z,130.31,172.35,BlockSize,1,32,0.239,BlockSize
7z,130.31,172.35,BlockSize,4,112,0.976,BlockSize
7z,130.31,172.35,BlockSize,64,40,0.999,BlockSize
7z,151.33,193.37,BlockSize,4,80,0.484,BlockSize
7z,151.33,193.37,BlockSize,8,8,0.469,BlockSize
7z,151.33,193.37,BlockSize,2,80,0.403,BlockSize
7z,172.35,214.39,BlockSize,2,80,0.403,BlockSize
7z,235.40,277.44,BlockSize,1,88,0.549,BlockSize
7z,235.40,277.44,BlockSize,8,8,-0.092,BlockSize
7z,235.40,277.44,BlockSize,4,8,0.558,BlockSize
7z,235.40,277.44,BlockSize,128,8,0.391,BlockSize
7z,235.40,277.44,BlockSize,512,8,0.825,BlockSize
7z,235.40,277.44,BlockSize,2048,8,0.035,BlockSize
7z,235.40,277.44,BlockSize,16,8,0.359,BlockSize
7z,235.40,277.44,BlockSize,1024,8,-0.264,BlockSize
7z,235.40,277.44,BlockSize,256,8,-0.006,BlockSize
7z,235.40,277.44,BlockSize,4096,8,0.706,BlockSize
7z,235.40,277.44,BlockSize,2,8,-0.344,BlockSize
7z,235.40,277.44,BlockSize,64,8,-0.052,BlockSize
7z,235.40,277.44,BlockSize,32,8,0.461,BlockSize
7z,256.42,298.46,BlockSize,1,139,-0.867,BlockSize
7z,256.42,298.46,BlockSize,8,18,-0.976,BlockSize
7z,256.42,298.46,BlockSize,4,26,-0.979,BlockSize
7z,256.42,298.46,BlockSize,128,18,-0.976,BlockSize
7z,256.42,298.46,BlockSize,512,20,-0.975,BlockSize
7z,256.42,298.46,BlockSize,2048,17,-0.975,BlockSize
7z,256.42,298.46,BlockSize,16,10,-0.934,BlockSize
7z,256.42,298.46,BlockSize,1024,20,-0.961,BlockSize
7z,256.42,298.46,BlockSize,256,16,-0.980,BlockSize
7z,256.42,298.46,BlockSize,4096,19,-0.962,BlockSize
7z,256.42,298.46,BlockSize,2,44,-0.910,BlockSize
7z,256.42,298.46,BlockSize,64,15,-0.971,BlockSize
7z,256.42,298.46,BlockSize,32,24,-0.973,BlockSize
7z,277.44,319.48,BlockSize,1,176,0.307,BlockSize
7z,277.44,319.48,BlockSize,512,176,0.395,BlockSize
7z,277.44,319.48,BlockSize,128,176,0.428,BlockSize
7z,277.44,319.48,BlockSize,4096,176,0.348,BlockSize
7z,277.44,319.48,BlockSize,1024,176,0.392,BlockSize
7z,277.44,319.48,BlockSize,2048,176,0.364,BlockSize
7z,277.44,319.48,BlockSize,2,176,0.290,BlockSize
7z,277.44,319.48,BlockSize,32,176,0.272,BlockSize
7z,277.44,319.48,BlockSize,256,176,0.494,BlockSize
7z,277.44,319.48,BlockSize,4,176,0.328,BlockSize
7z,277.44,319.48,BlockSize,64,176,0.370,BlockSize
7z,277.44,319.48,BlockSize,8,176,0.349,BlockSize
7z,277.44,319.48,BlockSize,16,176,0.204,BlockSize
7z,298.46,340.50,BlockSize,4,158,0.371,BlockSize
7z,298.46,340.50,BlockSize,4096,165,0.339,BlockSize
7z,298.46,340.50,BlockSize,128,166,0.366,BlockSize
7z,298.46,340.50,BlockSize,1,125,0.082,BlockSize
7z,298.46,340.50,BlockSize,16,174,0.199,BlockSize
